timestamp,stage,slot_index,controller_live,count,settings_summary,secondary_variant_tag,slot_label,drive_letter,usb_serial,usb_vid,usb_pid,usb_model,status,error_code,bin,usable_mb,raw_mb,ce,settled_flag,flash_id,chip_part,badge,raw_status_text
2026-08-21 13:39:00,after,6,2199ESB,7,High scan 1 Scanned Flash Saving param,,06,,,,,,ok,,7,1920,2124,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2124M),CE:1 [A]"
2026-08-21 13:39:00,after,7,2199ESB,7,High scan 1 Scanned Flash Saving param,,07-J,J,,,,ChipsBnk Flash Disk USB Device,ok,,7,1920,2138,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2138M),CE:1 [A]"
2026-08-21 13:39:00,after,8,2199ESB,7,High scan 1 Scanned Flash Saving param,,08-I,I,,,,ChipsBnk Flash Disk USB Device,ok,,7,1920,2149,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2149M),CE:1 [A]"
2026-08-21 13:39:00,after,9,2199ESB,7,High scan 1 Scanned Flash Saving param,,09,,,,,,ok,,7,1920,2109,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2109M),CE:1 [A]"
2026-08-21 13:39:00,after,10,2199ESB,7,High scan 1 Scanned Flash Saving param,,11,,,,,,ok,,6,3840,4075,2,A,2C44444BA9,MT29F32G08CBABA,S,"Bin6, 3840M(4075M),CE:2 [A]"
2026-08-21 13:39:00,after,11,2199ESB,7,High scan 1 Scanned Flash Saving param,,12,,,,,,ok,,7,1920,2120,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2120M),CE:1 [A]"
2026-08-21 13:44:32,before,1,2199ESB,3,High scan 1 Scanned Flash Saving param,,01,,,,,,ok,,7,1920,2093,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2093M),CE:1 [A]"
2026-08-21 13:44:32,before,2,2199ESB,3,High scan 1 Scanned Flash Saving param,,02-F,F,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:44:32,before,3,2199ESB,3,High scan 1 Scanned Flash Saving param,,03-E,E,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:44:32,before,4,2199ESB,3,High scan 1 Scanned Flash Saving param,,04-D,D,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:44:32,before,5,2199ESB,3,High scan 1 Scanned Flash Saving param,,05,,,,,,ok,,7,1920,2140,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2140M),CE:1 [A]"
2026-08-21 13:44:32,before,6,2199ESB,3,High scan 1 Scanned Flash Saving param,,06,,,,,,ok,,7,1920,2124,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2124M),CE:1 [A]"
2026-08-21 13:44:32,before,7,2199ESB,3,High scan 1 Scanned Flash Saving param,,07,,,,,,ok,,7,1920,2138,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2138M),CE:1 [A]"
2026-08-21 13:44:32,before,8,2199ESB,3,High scan 1 Scanned Flash Saving param,,08,,,,,,ok,,7,1920,2149,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2149M),CE:1 [A]"
2026-08-21 13:44:32,before,9,2199ESB,3,High scan 1 Scanned Flash Saving param,,09,,,,,,ok,,7,1920,2109,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2109M),CE:1 [A]"
2026-08-21 13:44:32,before,10,2199ESB,3,High scan 1 Scanned Flash Saving param,,11,,,,,,ok,,6,3840,4075,2,A,2C44444BA9,MT29F32G08CBABA,S,"Bin6, 3840M(4075M),CE:2 [A]"
2026-08-21 13:44:32,before,11,2199ESB,3,High scan 1 Scanned Flash Saving param,,12,,,,,,ok,,7,1920,2120,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2120M),CE:1 [A]"
2026-08-21 13:46:55,after,1,2199ESB,3,High scan 1 Scanned Flash Saving param,,01,,,,,,ok,,7,1920,2093,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2093M),CE:1 [A]"
2026-08-21 13:46:55,after,2,2199ESB,3,High scan 1 Scanned Flash Saving param,,02-F,F,,,,ChipsBnk Flash Disk USB Device,ok,,7,1920,2122,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2122M),CE:1 [A]"
2026-08-21 13:46:55,after,3,2199ESB,3,High scan 1 Scanned Flash Saving param,,03-E,E,,,,ChipsBnk Flash Disk USB Device,ok,,7,1920,2126,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2126M),CE:1 [A]"
2026-08-21 13:46:55,after,4,2199ESB,3,High scan 1 Scanned Flash Saving param,,04-D,D,,,,ChipsBnk Flash Disk USB Device,ok,,7,1920,2147,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2147M),CE:1 [A]"
2026-08-21 13:46:55,after,5,2199ESB,3,High scan 1 Scanned Flash Saving param,,05,,,,,,ok,,7,1920,2140,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2140M),CE:1 [A]"
2026-08-21 13:46:55,after,6,2199ESB,3,High scan 1 Scanned Flash Saving param,,06,,,,,,ok,,7,1920,2124,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2124M),CE:1 [A]"
2026-08-21 13:46:55,after,7,2199ESB,3,High scan 1 Scanned Flash Saving param,,07,,,,,,ok,,7,1920,2138,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2138M),CE:1 [A]"
2026-08-21 13:46:55,after,8,2199ESB,3,High scan 1 Scanned Flash Saving param,,08,,,,,,ok,,7,1920,2149,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2149M),CE:1 [A]"
2026-08-21 13:46:55,after,9,2199ESB,3,High scan 1 Scanned Flash Saving param,,09,,,,,,ok,,7,1920,2109,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2109M),CE:1 [A]"
2026-08-21 13:46:55,after,10,2199ESB,3,High scan 1 Scanned Flash Saving param,,11,,,,,,ok,,6,3840,4075,2,A,2C44444BA9,MT29F32G08CBABA,S,"Bin6, 3840M(4075M),CE:2 [A]"
2026-08-21 13:46:55,after,11,2199ESB,3,High scan 1 Scanned Flash Saving param,,12,,,,,,ok,,7,1920,2120,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2120M),CE:1 [A]"
2026-08-21 13:52:16,before,1,2199ESB,7,High scan 1 Scanned Flash Saving param,,01-H,H,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:16,before,2,2199ESB,7,High scan 1 Scanned Flash Saving param,,02-F,F,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:16,before,3,2199ESB,7,High scan 1 Scanned Flash Saving param,,03-E,E,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:16,before,4,2199ESB,7,High scan 1 Scanned Flash Saving param,,04-D,D,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:16,before,5,2199ESB,7,High scan 1 Scanned Flash Saving param,,05-K,K,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:16,before,6,2199ESB,7,High scan 1 Scanned Flash Saving param,,06,,,,,,ok,,7,1920,2124,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2124M),CE:1 [A]"
2026-08-21 13:52:16,before,7,2199ESB,7,High scan 1 Scanned Flash Saving param,,07-J,J,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:16,before,8,2199ESB,7,High scan 1 Scanned Flash Saving param,,08-I,I,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:16,before,9,2199ESB,7,High scan 1 Scanned Flash Saving param,,09,,,,,,ok,,7,1920,2109,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2109M),CE:1 [A]"
2026-08-21 13:52:16,before,10,2199ESB,7,High scan 1 Scanned Flash Saving param,,11,,,,,,ok,,6,3840,4075,2,A,2C44444BA9,MT29F32G08CBABA,S,"Bin6, 3840M(4075M),CE:2 [A]"
2026-08-21 13:52:16,before,11,2199ESB,7,High scan 1 Scanned Flash Saving param,,12,,,,,,ok,,7,1920,2120,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2120M),CE:1 [A]"
2026-08-21 13:52:55,after,1,,0,High scan 1 Scanned Flash Saving param,,01,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:55,after,2,,0,High scan 1 Scanned Flash Saving param,,02,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:55,after,3,,0,High scan 1 Scanned Flash Saving param,,03,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:55,after,4,,0,High scan 1 Scanned Flash Saving param,,04,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:55,after,5,,0,High scan 1 Scanned Flash Saving param,,05,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:55,after,6,,0,High scan 1 Scanned Flash Saving param,,06,,,,,,ok,,7,1920,2124,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2124M),CE:1 [A]"
2026-08-21 13:52:55,after,7,,0,High scan 1 Scanned Flash Saving param,,07,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:55,after,8,,0,High scan 1 Scanned Flash Saving param,,08,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:52:55,after,9,,0,High scan 1 Scanned Flash Saving param,,09,,,,,,ok,,7,1920,2109,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2109M),CE:1 [A]"
2026-08-21 13:52:55,after,10,,0,High scan 1 Scanned Flash Saving param,,11,,,,,,ok,,6,3840,4075,2,A,2C44444BA9,MT29F32G08CBABA,S,"Bin6, 3840M(4075M),CE:2 [A]"
2026-08-21 13:52:55,after,11,,0,High scan 1 Scanned Flash Saving param,,12,,,,,,ok,,7,1920,2120,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2120M),CE:1 [A]"
2026-08-21 13:53:27,before,1,2199ESB,3,High scan 1 Scanned Flash Saving param,,01,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:53:27,before,2,2199ESB,3,High scan 1 Scanned Flash Saving param,,02-F,F,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:53:27,before,3,2199ESB,3,High scan 1 Scanned Flash Saving param,,03-E,E,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:53:27,before,4,2199ESB,3,High scan 1 Scanned Flash Saving param,,04-D,D,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:53:27,before,5,2199ESB,3,High scan 1 Scanned Flash Saving param,,05,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:53:27,before,6,2199ESB,3,High scan 1 Scanned Flash Saving param,,06,,,,,,ok,,7,1920,2124,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2124M),CE:1 [A]"
2026-08-21 13:53:27,before,7,2199ESB,3,High scan 1 Scanned Flash Saving param,,07,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:53:27,before,8,2199ESB,3,High scan 1 Scanned Flash Saving param,,08,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 13:53:27,before,9,2199ESB,3,High scan 1 Scanned Flash Saving param,,09,,,,,,ok,,7,1920,2109,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2109M),CE:1 [A]"
2026-08-21 13:53:27,before,10,2199ESB,3,High scan 1 Scanned Flash Saving param,,11,,,,,,ok,,6,3840,4075,2,A,2C44444BA9,MT29F32G08CBABA,S,"Bin6, 3840M(4075M),CE:2 [A]"
2026-08-21 13:53:27,before,11,2199ESB,3,High scan 1 Scanned Flash Saving param,,12,,,,,,ok,,7,1920,2120,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2120M),CE:1 [A]"
2026-08-21 14:11:26,before,1,2199ESB,3,High scan 1 Scanned Flash Saving param,,01,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 14:11:26,before,2,2199ESB,3,High scan 1 Scanned Flash Saving param,,02-F,F,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 14:11:26,before,3,2199ESB,3,High scan 1 Scanned Flash Saving param,,03-E,E,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 14:11:26,before,4,2199ESB,3,High scan 1 Scanned Flash Saving param,,04-D,D,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 14:11:26,before,5,2199ESB,3,High scan 1 Scanned Flash Saving param,,05,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 14:11:26,before,6,2199ESB,3,High scan 1 Scanned Flash Saving param,,06,,,,,,ok,,7,1920,2124,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2124M),CE:1 [A]"
2026-08-21 14:11:26,before,7,2199ESB,3,High scan 1 Scanned Flash Saving param,,07,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 14:11:26,before,8,2199ESB,3,High scan 1 Scanned Flash Saving param,,08,,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 14:11:26,before,9,2199ESB,3,High scan 1 Scanned Flash Saving param,,09,,,,,,ok,,7,1920,2109,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2109M),CE:1 [A]"
2026-08-21 14:11:26,before,10,2199ESB,3,High scan 1 Scanned Flash Saving param,,11,,,,,,ok,,6,3840,4075,2,A,2C44444BA9,MT29F32G08CBABA,S,"Bin6, 3840M(4075M),CE:2 [A]"
2026-08-21 14:11:26,before,11,2199ESB,3,High scan 1 Scanned Flash Saving param,,12,,,,,,ok,,7,1920,2120,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin7, 1920M(2120M),CE:1 [A]"
2026-08-21 14:31:48,before,1,2199ESB,7,High scan 1 Scanned Flash Saving param,,01-G,G,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
2026-08-21 14:31:48,before,2,2199ESB,7,High scan 1 Scanned Flash Saving param,,02-H,H,,,,,ok,,8,960,,1,A,2C44444BA9,MT29F32G08CBABA,S,"Bin8, 960M,CE:1 [A]"
